day,slot,card_id,category,depth,option_a,option_b,anchor
14,1,sex-intimacy-s01,Sex & Intimacy,surface,Chemistry is instant or never,Chemistry can be grown,false
14,2,values-worldview-s03,Values & Worldview,surface,Rules exist for reasons,Rules exist for revision,false
14,3,future-ambition-m11,Future & Ambition,medium,I'm looking for something that lasts,I'm open to whatever this becomes,true
15,1,future-ambition-s03,Future & Ambition,surface,I'd move cities for the right opportunity,The right opportunity comes to my city,false
15,2,inner-world-m02,Inner World & Reassurance,medium,When you're quiet I assume something's wrong,When you're quiet I assume you're busy,false
15,3,family-roots-m02,Family & Roots,medium,My parents' marriage is a model,My parents' marriage is a warning,false
16,1,money-resources-s03,Money & Resources,surface,I always know my balance,I check when I have to,false
16,2,lifestyle-pace-m02,Lifestyle Pace,medium,Rest means doing nothing,Rest means doing something different,false
16,3,romance-affection-m02,Romance & Affection,medium,I feel loved when you notice small changes,I feel loved when you state it plainly,false
17,1,social-energy-s03,Social Energy,surface,Big group dinners,"One friend, one booth",false
17,2,daily-life-m02,Daily Life & Aesthetic,medium,I clean when I'm anxious,Cleaning is just a chore,false
17,3,conflict-style-m02,Conflict Style,medium,I fight about the thing itself,The thing is never the thing,false
18,1,phones-online-s03,Phones & Online Life,surface,Read receipts on,Read receipts off,false
18,2,values-worldview-m02,Values & Worldview,medium,Faith or spirituality anchors me,I'm anchored by something else,false
18,3,future-ambition-m02,Future & Ambition,medium,I'd pause my career for the right person,My career pauses for nothing and no one,false
19,1,sex-intimacy-s02,Sex & Intimacy,surface,Flirting is constant maintenance,Flirting is for igniting,false
19,2,inner-world-m03,Inner World & Reassurance,medium,I replay small mistakes for days,Mistakes release me quickly,false
19,3,family-roots-m03,Family & Roots,medium,Family opinions of you would weigh on me,"Family opinions are input, never verdict",false
20,1,lifestyle-pace-s04,Lifestyle Pace,surface,Errands knocked out Saturday morning,Errands dissolved across the week,false
20,2,romance-affection-m03,Romance & Affection,medium,Affection should be constant background,Affection should be concentrated moments,false
20,3,money-resources-m03,Money & Resources,medium,I'd take the stable salary,I'd take the upside bet,false
21,1,daily-life-s04,Daily Life & Aesthetic,surface,One perfect plant,A small indoor jungle,false
21,2,conflict-style-m03,Conflict Style,medium,Being misunderstood hurts more,Being dismissed hurts more,false
21,3,future-ambition-m12,Future & Ambition,medium,"While we figure us out, I'm only seeing you",I'm keeping options open until we're defined,true
22,1,values-worldview-s04,Values & Worldview,surface,I'd rather be kind than right,I'd rather be right than comfortable,false
22,2,phones-online-m03,Phones & Online Life,medium,I'd share locations without thinking,Location sharing needs a conversation,false
22,3,future-ambition-m03,Future & Ambition,medium,A partner's drive attracts me most,A partner's contentment attracts me most,false
23,1,inner-world-s03,Inner World & Reassurance,surface,Compliments: I archive them,Compliments: they evaporate,false
23,2,family-roots-m04,Family & Roots,medium,I'd live near family eventually,Distance from family keeps me healthy,false
23,3,lifestyle-pace-m03,Lifestyle Pace,medium,I recharge by going somewhere,I recharge by going nowhere,false
24,1,sex-intimacy-s03,Sex & Intimacy,surface,Physical affection in public: more,Physical affection in public: keep it ours,false
24,2,romance-affection-m04,Romance & Affection,medium,When I go quiet I need touch,When I go quiet I need space,false
24,3,money-resources-m04,Money & Resources,medium,Lending money to family is normal,Lending money to family is dangerous,false
25,1,conflict-style-s04,Conflict Style,surface,Cold silence bothers me more,Raised voices bother me more,false
25,2,daily-life-m03,Daily Life & Aesthetic,medium,Whoever cooks should not clean,Whoever minds more should do more,false
25,3,social-energy-m04,Social Energy,medium,Canceling on you would always need a reason,Sometimes the reason is just my battery,false
26,1,phones-online-s04,Phones & Online Life,surface,I answer texts within minutes,"Texts marinate, lovingly",false
26,2,values-worldview-m03,Values & Worldview,medium,Changing my mind feels like growth,Changing my mind feels like losing,false
26,3,future-ambition-m04,Future & Ambition,medium,I'm behind where I expected to be,I'm ahead of where I expected to be,false
27,1,family-roots-s03,Family & Roots,surface,"Home for the holidays, always",Holidays are wherever I am,false
27,2,inner-world-m04,Inner World & Reassurance,medium,"Anxious is my resting state, managed","Calm is my resting state, mostly",false
27,3,lifestyle-pace-m04,Lifestyle Pace,medium,A packed week with you sounds perfect,A cleared week with you sounds perfect,false
28,1,romance-affection-s04,Romance & Affection,surface,Flowers for no reason,Snacks for a specific reason,false
28,2,money-resources-m05,Money & Resources,medium,I spend to feel better sometimes,Spending when low makes it worse,false
28,3,future-ambition-m13,Future & Ambition,medium,Labels matter to me — eventually I'll need one,Labels don't move me — how we act does,true
29,1,sex-intimacy-s04,Sex & Intimacy,surface,Slow burn is the best part,The leap is the best part,false
29,2,conflict-style-m04,Conflict Style,medium,After a fight I need closeness,After a fight I need space,false
29,3,social-energy-m05,Social Energy,medium,I'd want you at everything with me,I'd want you at some things with me,false
30,1,future-ambition-s04,Future & Ambition,surface,Success is a feeling,Success is a milestone,false
30,2,values-worldview-m04,Values & Worldview,medium,Some things are wrong in every culture,Right and wrong mostly depend on context,false
30,3,phones-online-m04,Phones & Online Life,medium,Posting me means you're proud,Posting me is just content,false
31,1,inner-world-s04,Inner World & Reassurance,surface,I rehearse conversations beforehand,I wing every conversation,false
31,2,family-roots-m05,Family & Roots,medium,There's a family role I'm still escaping,My family sees me accurately now,false
31,3,lifestyle-pace-m05,Lifestyle Pace,medium,I want weekends planned around us,I want weekends open around us,false
32,1,money-resources-s04,Money & Resources,surface,Experiences over things,Things over experiences,false
32,2,romance-affection-m05,Romance & Affection,medium,I'd rather hear it imperfect and often,I'd rather hear it rare and meant,false
32,3,daily-life-m05,Daily Life & Aesthetic,medium,Clutter is deferred decisions,Clutter is personality,false
33,1,social-energy-s04,Social Energy,surface,I collect acquaintances easily,I keep a small fortress of friends,false
33,2,conflict-style-m05,Conflict Style,medium,I'll bring it up even if it ruins the evening,"I'll wait for the right moment, maybe too long",false
33,3,sex-intimacy-m01,Sex & Intimacy,medium,I need emotional closeness before physical,Physical closeness builds my emotional,false
34,1,values-worldview-s05,Values & Worldview,surface,Tradition deserves the benefit of the doubt,Tradition has to earn its keep,false
34,2,phones-online-m05,Phones & Online Life,medium,Phones in bed are stealing from us,Phones in bed are just winding down,false
34,3,future-ambition-m05,Future & Ambition,medium,Marriage is on my map,Marriage is optional scenery,true
35,1,family-roots-s04,Family & Roots,surface,My family is loud and close,My family is quiet and spaced,false
35,2,inner-world-m05,Inner World & Reassurance,medium,I'd want you to notice before I say it,I'd rather say it than be studied,false
35,3,lifestyle-pace-m06,Lifestyle Pace,medium,When I'm overwhelmed I speed up,When I'm overwhelmed I shut down,false
36,1,romance-affection-s05,Romance & Affection,surface,Slow dancing in the kitchen,Singing loudly in the car,false
36,2,money-resources-m06,Money & Resources,medium,Generosity is my favorite thing about money,Security is my favorite thing about money,false
36,3,daily-life-m06,Daily Life & Aesthetic,medium,"I'd merge homes slowly, in stages",I'd merge homes all at once,false
37,1,conflict-style-s05,Conflict Style,surface,I remember arguments word for word,Arguments blur once they're over,false
37,2,social-energy-m06,Social Energy,medium,Loneliness hits me in a crowd,Loneliness hits me in an empty room,false
37,3,sex-intimacy-m02,Sex & Intimacy,medium,Talking about what I like is easy,Talking about what I like takes trust,false
38,1,phones-online-s05,Phones & Online Life,surface,"Phone at the table, face down",Phone in the bag entirely,false
38,2,values-worldview-m05,Values & Worldview,medium,I'd report a friend who did something serious,"Loyalty would win, and I'd carry it",false
38,3,future-ambition-m06,Future & Ambition,medium,Kids: I'm a yes seeking the right person,Kids: undecided or leaning no,true
39,1,inner-world-s05,Inner World & Reassurance,surface,My mood follows the weather,My weather is internal,false
39,2,family-roots-m06,Family & Roots,medium,I'd caretake my parents without question,Caretaking has limits I've already drawn,false
39,3,lifestyle-pace-m07,Lifestyle Pace,medium,I'd rather be over-committed than bored,I'd rather be bored than over-committed,false
40,1,money-resources-s05,Money & Resources,surface,A deal feels like winning,A splurge feels like living,false
40,2,romance-affection-m06,Romance & Affection,medium,Being pursued makes me open up,Being given room makes me open up,false
40,3,daily-life-m07,Daily Life & Aesthetic,medium,My standards are the reasonable ones,"Standards are negotiable, even mine",false
41,1,social-energy-s05,Social Energy,surface,Hosting energizes me,Hosting depletes me,false
41,2,conflict-style-m06,Conflict Style,medium,I apologize to end the pain,I apologize when I mean it,false
41,3,sex-intimacy-m03,Sex & Intimacy,medium,Frequency matters more than I admit,Connection quality outranks frequency for me,false
42,1,future-ambition-s05,Future & Ambition,surface,I romanticize the grind,I romanticize the after,false
42,2,values-worldview-m06,Values & Worldview,medium,Giving money matters more than giving time,Giving time matters more than giving money,false
42,3,phones-online-m06,Phones & Online Life,medium,My online persona is curated me,My online persona is basically me,false
43,1,family-roots-s05,Family & Roots,surface,I'd want you to meet them early,Meeting family is a late milestone,false
43,2,inner-world-m01,Inner World & Reassurance,medium,I need reassurance more than I ask for it,I ask for exactly the reassurance I need,false
43,3,lifestyle-pace-m08,Lifestyle Pace,medium,Routines keep me sane,Routines make me restless,false
44,1,daily-life-s05,Daily Life & Aesthetic,surface,Candles and warm light,Bright and fully lit,false
44,2,romance-affection-m07,Romance & Affection,medium,Romance dies from neglect,Romance dies from pressure,false
44,3,money-resources-m07,Money & Resources,medium,I'd want to know your salary by month three,Salaries can wait until it's serious,false
45,1,conflict-style-s06,Conflict Style,surface,Wrong about a fact: concede instantly,Wrong about a fact: die on the hill briefly,false
45,2,social-energy-m07,Social Energy,medium,I perform okay even when I'm not,What you see is what I've got,false
45,3,values-worldview-d01,Values & Worldview,deep,There's a belief I hold that might end us,Nothing I believe would surprise you by now,true
46,1,phones-online-s06,Phones & Online Life,surface,My screen time would embarrass me,My screen time would surprise you,false
46,2,sex-intimacy-m04,Sex & Intimacy,medium,Initiating comes naturally to me,I wish I were pursued more,false
46,3,future-ambition-d01,Future & Ambition,deep,I'm afraid my ambition is compensating for something,"My ambition is clean fuel, examined and owned",false
47,1,lifestyle-pace-s05,Lifestyle Pace,surface,Full calendar feels alive,Empty calendar feels free,false
47,2,inner-world-m06,Inner World & Reassurance,medium,Being a burden is my quiet fear,Being overlooked is my quiet fear,false
47,3,family-roots-d01,Family & Roots,deep,There's family pain I've never said out loud,My family pain has been spoken and worked,false
48,1,romance-affection-s06,Romance & Affection,surface,Hold hands in public,Save touch for private,false
48,2,money-resources-m08,Money & Resources,medium,A budget together sounds intimate,A budget together sounds invasive,false
48,3,daily-life-d01,Daily Life & Aesthetic,deep,How I keep my space hides how I'm doing,My space and my state are unrelated,false
49,1,social-energy-s06,Social Energy,surface,Weekend trip with eight people: yes,Weekend trip with eight people: why,false
49,2,conflict-style-m07,Conflict Style,medium,"Score-keeping happens, I fight it",Score-keeping is foreign to me,false
49,3,values-worldview-d02,Values & Worldview,deep,I've acted against my values for someone I loved,My values have held even when love pulled,false
50,1,phones-online-s07,Phones & Online Life,surface,Group chats: I drive them,Group chats: I haunt them,false
50,2,future-ambition-m07,Future & Ambition,medium,I'd rather struggle toward something big,I'd rather be comfortable now,false
50,3,inner-world-d01,Inner World & Reassurance,deep,There's a version of me I haven't shown you yet,You've met every version of me by now,false
51,1,lifestyle-pace-s06,Lifestyle Pace,surface,Vacation: itinerary with stops,Vacation: a town and a mood,false
51,2,sex-intimacy-m05,Sex & Intimacy,medium,Playfulness is the heart of it,Intensity is the heart of it,false
51,3,family-roots-d02,Family & Roots,deep,I'm afraid of becoming one of my parents,I've made peace with what I inherited,false
52,1,daily-life-s06,Daily Life & Aesthetic,surface,"Minimal counters, everything hidden","Lived-in counters, everything handy",false
52,2,romance-affection-m08,Romance & Affection,medium,I want to be someone's favorite person,I want to be someone's safest person,false
52,3,sex-intimacy-d01,Sex & Intimacy,deep,There's something I want that I've never asked for,I've voiced every want by now,true
53,1,social-energy-s07,Social Energy,surface,I talk to strangers in lines,Headphones are armor,false
53,2,values-worldview-m07,Values & Worldview,medium,I need a partner who challenges my views,I need a partner who shares my views,false
53,3,money-resources-d01,Money & Resources,deep,There's a money decision I still carry shame about,My money shame is behind me — the caution it left isn't,false
54,1,future-ambition-s06,Future & Ambition,surface,"Big risks early, settle later","Build steady, risk from strength",false
54,2,phones-online-m07,Phones & Online Life,medium,I'd want your passwords eventually,Passwords stay personal forever,false
54,3,conflict-style-d01,Conflict Style,deep,In my worst moments I say things I don't mean,In my worst moments I go somewhere you can't reach,false
55,1,lifestyle-pace-s07,Lifestyle Pace,surface,"Early dinner, home by ten","Late dinner, see where it goes",false
55,2,family-roots-m07,Family & Roots,medium,Chosen family outranks given family,Blood carries weight nothing else does,false
55,3,inner-world-d02,Inner World & Reassurance,deep,My worst spirals need you closer,My worst spirals need you patient and away,false
56,1,romance-affection-s07,Romance & Affection,surface,Celebrate the monthiversary,Celebrate the big ones only,false
56,2,daily-life-m08,Daily Life & Aesthetic,medium,A beautiful home is a priority worth money,A functional home is enough,false
56,3,social-energy-d01,Social Energy,deep,I've used social plans to avoid someone,I've used solitude to avoid someone,false
57,1,sex-intimacy-s05,Sex & Intimacy,surface,Compliments about my body land well,I prefer compliments about my presence,false
57,2,values-worldview-m08,Values & Worldview,medium,Cynicism is just pattern recognition,Cynicism is a failure of nerve,false
57,3,money-resources-d02,Money & Resources,deep,I would sign a prenup without flinching,A prenup would sting even if sensible,false
58,1,conflict-style-s07,Conflict Style,surface,I'd rather be told directly,I'd rather be told gently,false
58,2,phones-online-m08,Phones & Online Life,medium,Liking someone else's photos can be a thing,Liking photos is never a thing,false
58,3,future-ambition-d02,Future & Ambition,deep,"If we wanted different cities, I'd consider leaving mine","If we wanted different cities, that might be it",false
59,1,lifestyle-pace-s08,Lifestyle Pace,surface,Same coffee order for years,Order something new every time,false
59,2,inner-world-m07,Inner World & Reassurance,medium,"I self-soothe, then connect",I connect to self-soothe,false
59,3,family-roots-d03,Family & Roots,deep,Estrangement exists in my family,My family has no missing chairs,false
60,1,daily-life-s07,Daily Life & Aesthetic,surface,Sunday meal prep,Decide at six pm daily,false
60,2,social-energy-m08,Social Energy,medium,Your friends becoming mine matters a lot,Separate friend worlds are healthy,false
60,3,romance-affection-d01,Romance & Affection,deep,I have loved someone who never knew,Everyone I have loved has known,false
61,1,money-resources-s06,Money & Resources,surface,I tip generously by default,I tip to match the service,false
61,2,values-worldview-m09,Values & Worldview,medium,Justice should bend toward mercy,Mercy should bend toward justice,false
61,3,phones-online-d01,Phones & Online Life,deep,My search history holds a real secret or two,"My search history is just chaotic, not secret",false
62,1,sex-intimacy-s06,Sex & Intimacy,surface,"Morning person, in every sense","Night person, in every sense",false
62,2,conflict-style-m08,Conflict Style,medium,Criticism makes me defensive first,Criticism makes me curious first,false
62,3,future-ambition-d03,Future & Ambition,deep,My family's expectations still steer my choices,I broke from expectations and steer alone,false
63,1,lifestyle-pace-s09,Lifestyle Pace,surface,Sundays are for resetting,Sundays are for nothing,false
63,2,family-roots-m08,Family & Roots,medium,We'd raise kids near grandparents if possible,Grandparent proximity wouldn't drive our map,false
63,3,inner-world-d03,Inner World & Reassurance,deep,I'm afraid I'm hard to love long-term,I'm afraid I'll stop being loved mid-term,false
64,1,romance-affection-s08,Romance & Affection,surface,I keep every ticket stub,"I keep the memory, not the stuff",false
64,2,daily-life-m09,Daily Life & Aesthetic,medium,Living together would show you my best,Living together would show you my real,false
64,3,social-energy-d02,Social Energy,deep,Being truly known by a group scares me,Being unknown by every group scares me,false
65,1,values-worldview-s06,Values & Worldview,surface,Everything happens for a reason,"Things happen, we make the reason",false
65,2,money-resources-m09,Money & Resources,medium,I quietly judge how people tip,I quietly judge how people save,false
65,3,phones-online-d02,Phones & Online Life,deep,I've typed things to someone I'd never say aloud,My online voice and real voice match,false
66,1,future-ambition-s07,Future & Ambition,surface,I want to be known for something,I want to be free from needing that,false
66,2,conflict-style-m09,Conflict Style,medium,I have left fights unresolved for weeks,Nothing stays unresolved past a day with me,false
66,3,sex-intimacy-d02,Sex & Intimacy,deep,Vulnerability here is harder for me than anywhere,This is where vulnerability comes easiest,true
67,1,lifestyle-pace-s10,Lifestyle Pace,surface,I like being five minutes early,I arrive exactly on time,false
67,2,inner-world-m09,Inner World & Reassurance,medium,Therapy shaped how I love,I've done my work outside therapy,false
67,3,family-roots-d04,Family & Roots,deep,"If my family rejected you, I'd choose you","If my family rejected you, I'd be torn",false
68,1,daily-life-s08,Daily Life & Aesthetic,surface,My space is curated,My space is collected,false
68,2,romance-affection-m09,Romance & Affection,medium,Old wounds make me slower to show love,Old wounds make me quicker to show love,false
68,3,social-energy-d03,Social Energy,deep,I have a version of me only strangers get,Every version of me overlaps,false
69,1,money-resources-s07,Money & Resources,surface,Money talk is just logistics,Money talk is a little loaded,false
69,2,phones-online-m09,Phones & Online Life,medium,A no-phones hour daily sounds romantic,Scheduled disconnection feels forced,false
69,3,values-worldview-d03,Values & Worldview,deep,I judge more than I admit,I don't judge much — sometimes I don't discern enough,false
70,1,social-energy-s08,Social Energy,surface,After socializing I'm charged,After socializing I'm spent,false
70,2,future-ambition-m08,Future & Ambition,medium,My timeline has real deadlines,Timelines are pressure I refuse,false
70,3,conflict-style-d02,Conflict Style,deep,A past relationship taught me how not to fight,I'm still learning what fighting fair costs,false
71,1,lifestyle-pace-s11,Lifestyle Pace,surface,"Three alarms, staged","One alarm, trusted",false
71,2,sex-intimacy-m06,Sex & Intimacy,medium,A dry season would worry me about us,"Dry seasons are weather, not verdicts",false
71,3,inner-world-d04,Inner World & Reassurance,deep,Someone made me feel crazy for needing reassurance,My needs were never used against me,false
72,1,romance-affection-s09,Romance & Affection,surface,Teasing is flirting,Sincerity is flirting,false
72,2,family-roots-m09,Family & Roots,medium,My family knows my real life,My family knows a curated version,false
72,3,daily-life-d02,Daily Life & Aesthetic,deep,I've never fully felt at home anywhere,I make anywhere feel like home fast,false
73,1,values-worldview-s07,Values & Worldview,surface,I admire conviction,I admire flexibility,false
73,2,money-resources-m10,Money & Resources,medium,Retiring early is the goal,Loving the work is the goal,false
73,3,phones-online-d03,Phones & Online Life,deep,Part of my online life I'd still hide from you,You could scroll anything of mine today,false
74,1,conflict-style-s08,Conflict Style,surface,Bickering means we're comfortable,Bickering means something's off,false
74,2,future-ambition-m09,Future & Ambition,medium,Supporting your dream could become my dream,I need a dream that's only mine,false
74,3,social-energy-d04,Social Energy,deep,"If we ended, losing shared friends would wreck me","If we ended, I'd grieve you, not the circle",false
75,1,inner-world-s06,Inner World & Reassurance,surface,Journaling or notes-app confessions: yes,My processing never hits paper,false
75,2,lifestyle-pace-m09,Lifestyle Pace,medium,I want a partner who pulls me out more,I want a partner who slows me down,false
75,3,family-roots-d05,Family & Roots,deep,I owe my family debts that aren't money,My ledger with family is clean,false
76,1,daily-life-s09,Daily Life & Aesthetic,surface,Music on at home always,Quiet at home mostly,false
76,2,sex-intimacy-m07,Sex & Intimacy,medium,My past gave me confidence here,My past gave me things to unlearn,false
76,3,conflict-style-d03,Conflict Style,deep,I'm afraid of becoming how my parents fought,My parents fought in ways I'd repeat,false
77,1,phones-online-s08,Phones & Online Life,surface,I follow exes: it's nothing,I unfollow exes: it's hygiene,false
77,2,romance-affection-m10,Romance & Affection,medium,Grand gestures move me,Grand gestures embarrass me,false
77,3,values-worldview-d04,Values & Worldview,deep,I believe people can fundamentally change,"I believe people mostly reveal, not change",false
78,1,social-energy-s09,Social Energy,surface,My people would say I'm the planner,My people would say I'm the joiner,false
78,2,future-ambition-m10,Future & Ambition,medium,Where I live in ten years is open,Where I live in ten years is decided,false
78,3,inner-world-d05,Inner World & Reassurance,deep,I hide sadness behind competence,My sadness shows whether I like it or not,false
79,1,lifestyle-pace-s12,Lifestyle Pace,surface,Busy season makes me sharper,Busy season runs me down,false
79,2,family-roots-m10,Family & Roots,medium,Holidays with your family sounds easy,Holidays with anyone's family takes negotiation,false
79,3,conflict-style-d04,Conflict Style,deep,Contempt has crept in before — I had to root it out,Contempt isn't my failure — mine is retreat,false
80,1,daily-life-s10,Daily Life & Aesthetic,surface,I notice when one thing moves,I would not notice a new couch,false
80,2,money-resources-m11,Money & Resources,medium,I'd support a partner through a broke season,I'd struggle supporting a partner financially,false
80,3,future-ambition-d04,Future & Ambition,deep,I could give up the spotlight version of my future,The spotlight version is non-negotiable,false
81,1,phones-online-s09,Phones & Online Life,surface,Memes are a love language,Memes are a distraction,false
81,2,sex-intimacy-m08,Sex & Intimacy,medium,I'd want us to talk about this side often,This side should mostly speak for itself,false
81,3,values-worldview-d05,Values & Worldview,deep,Forgiveness is something I owe people,Forgiveness is something people earn,false
82,1,romance-affection-s10,Romance & Affection,surface,The chase was the fun part,The comfort is the fun part,false
82,2,inner-world-m10,Inner World & Reassurance,medium,I trust slowly and all at once,I trust quickly and revocably,false
82,3,family-roots-d06,Family & Roots,deep,How I was loved as a kid limits how I love now,I love beyond how I was loved,false
83,1,social-energy-s10,Social Energy,surface,New city: meet people fast,New city: explore alone first,false
83,2,lifestyle-pace-m10,Lifestyle Pace,medium,My pace is a choice I'd defend,My pace is a habit I'd change,false
83,3,conflict-style-d05,Conflict Style,deep,I can forgive almost anything said in anger,Some things said in anger end it for me,true
84,1,daily-life-s11,Daily Life & Aesthetic,surface,Same ten meals forever,New recipe every week,false
84,2,money-resources-m12,Money & Resources,medium,Money fights are really about money,Money fights are really about power,false
84,3,future-ambition-d05,Future & Ambition,deep,Failing publicly is my deepest career fear,Never attempting is my deepest career fear,false
85,1,phones-online-s10,Phones & Online Life,surface,I'd post us early,I'd post us eventually,false
85,2,values-worldview-m10,Values & Worldview,medium,My values changed a lot in five years,My values have held steady for years,false
85,3,inner-world-d06,Inner World & Reassurance,deep,If you saw my 3am thoughts you'd worry,My 3am thoughts would mostly bore you,false
86,1,romance-affection-s11,Romance & Affection,surface,A planned date night weekly,A spontaneous date when it sparks,false
86,2,sex-intimacy-m09,Sex & Intimacy,medium,Feeling desired is how I feel loved,Feeling safe is how I feel desired,false
86,3,family-roots-d07,Family & Roots,deep,I'd want our kids to know where I came from,Parts of where I came from end with me,false
87,1,social-energy-s11,Social Energy,surface,Birthday: gathered and celebrated,Birthday: quiet and acknowledged,false
87,2,conflict-style-m10,Conflict Style,medium,I'd want us to have rules for fighting,Rules for fighting feel unnatural,false
87,3,future-ambition-d06,Future & Ambition,deep,A partner has dimmed my ambition before,A partner has ignited my ambition before,false
88,1,daily-life-s12,Daily Life & Aesthetic,surface,Host at mine,Meet me out,false
88,2,money-resources-m13,Money & Resources,medium,My money habits would survive an audit,My money habits need an amnesty,false
88,3,values-worldview-d06,Values & Worldview,deep,I'd want our kids raised with my values,I'd want our kids to build their own,false
89,1,phones-online-s11,Phones & Online Life,surface,Phone-free vacation sounds amazing,Phone-free vacation sounds fake,false
89,2,lifestyle-pace-m11,Lifestyle Pace,medium,A shared calendar sounds romantic,A shared calendar sounds suffocating,false
89,3,inner-world-d07,Inner World & Reassurance,deep,Healing made me softer,Healing made me harder,false
90,1,romance-affection-s12,Romance & Affection,surface,Love at first sight is real,"Love is built, not found",false
90,2,family-roots-m11,Family & Roots,medium,I want a family that looks like mine did,I want a family that fixes what mine got wrong,false
90,3,future-ambition-d07,Future & Ambition,deep,Ninety days in: I want to build toward something real with you,Ninety days in: I know this isn't my future,true
